	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	% splices: Annotated (sjdb)	% splices: GT/AG	% splices: GC/AG	% splices: AT/AC	% splices: Non-canonical
M_M1_01	Apr 29 19:58:18	Apr 29 19:58:40	Apr 29 20:01:22	274.58	12356210.0	184.0	10684874.0	86.47	181.36	4629200.0	4559773.0	4594566.0	23888.0	5051.0	5695.0	0.37	0.01	1.57	0.01	1.43	282305.0	2.28	19107.0	0.15	0.0	11.02	0.07	98.5002376221	99.2518361704	0.516028687462	0.109111725568	0.123023416573
M_M1_02	Apr 29 17:59:28	Apr 29 18:01:21	Apr 29 18:19:15	41.62	12416854.0	184.0	11235549.0	90.49	181.7	2706035.0	2656128.0	2679768.0	20734.0	2084.0	3449.0	0.38	0.01	1.59	0.01	1.44	218038.0	1.76	15330.0	0.12	0.0	7.59	0.04	98.1557149113	99.0293178026	0.766213297315	0.077013046764	0.127455853306
M_M1_03	Apr 29 19:35:13	Apr 29 19:35:39	Apr 29 19:39:41	294.61	19804563.0	184.0	17584862.0	88.79	181.38	8496381.0	8409406.0	8422815.0	53739.0	9947.0	9880.0	0.38	0.01	1.55	0.01	1.5	496329.0	2.51	22134.0	0.11	0.0	8.55	0.04	98.9763288628	99.1341489983	0.632492822532	0.117073375123	0.116284804083
M_M1_04	Apr 29 18:30:05	Apr 29 18:30:31	Apr 29 18:32:29	263.1	8623786.0	184.0	7599917.0	88.13	181.29	4547233.0	4501975.0	4503758.0	32611.0	4811.0	6053.0	0.36	0.01	1.54	0.01	1.46	237365.0	2.75	12917.0	0.15	0.0	8.93	0.04	99.0047134158	99.0439240743	0.717161403429	0.105800604456	0.133113917849
M_M1_05	Apr 29 19:19:31	Apr 29 19:19:53	Apr 29 19:22:28	267.28	11507835.0	184.0	9726225.0	84.52	181.33	3429570.0	3371387.0	3391403.0	30907.0	4029.0	3231.0	0.37	0.01	1.55	0.01	1.42	236953.0	2.06	11731.0	0.1	0.0	13.28	0.04	98.3034899419	98.8871199596	0.901191694586	0.11747828445	0.0942100613196
M_M1_06	Apr 30 00:32:03	Apr 30 00:32:52	Apr 30 00:36:54	288.72	19408568.0	184.0	17057710.0	87.89	181.4	5525189.0	5428437.0	5468658.0	42597.0	8275.0	5659.0	0.37	0.02	1.55	0.01	1.44	393830.0	2.03	19390.0	0.1	0.0	9.94	0.04	98.2488924813	98.9768494797	0.770960052226	0.149768632349	0.102421835706
M_M1_07	Apr 29 19:56:26	Apr 29 19:56:47	Apr 29 20:00:49	310.24	20854888.0	184.0	18460526.0	88.52	181.43	6136384.0	6040579.0	6080213.0	41669.0	7149.0	7353.0	0.38	0.02	1.56	0.01	1.5	376799.0	1.81	28296.0	0.14	0.0	9.51	0.02	98.4387385144	99.0846237784	0.679048116937	0.116501835609	0.119826269021
M_M1_08	Apr 29 18:06:02	Apr 29 18:09:58	Apr 29 18:12:33	253.96	10934185.0	184.0	9530507.0	87.16	181.27	3829197.0	3772502.0	3794668.0	26814.0	3699.0	4016.0	0.35	0.01	1.53	0.01	1.46	233614.0	2.14	13966.0	0.13	0.0	10.54	0.03	98.5194023708	99.0982704729	0.700251253722	0.0965998876527	0.104878385729
M_M1_09	Apr 29 19:02:58	Apr 29 19:03:18	Apr 29 19:05:48	304.29	12678919.0	184.0	11433806.0	90.18	181.72	3719495.0	3662626.0	3681669.0	28498.0	4321.0	5007.0	0.34	0.01	1.59	0.01	1.52	251525.0	1.98	16006.0	0.13	0.0	7.67	0.04	98.4710558826	98.9830339871	0.766179279714	0.116171684597	0.134615048548
M_M1_10	Apr 29 19:21:26	Apr 29 19:22:12	Apr 29 19:25:21	256.36	13459077.0	184.0	11515420.0	85.56	181.33	4215045.0	4151545.0	4172632.0	29769.0	4640.0	8004.0	0.36	0.01	1.52	0.01	1.37	248126.0	1.84	19300.0	0.14	0.0	12.39	0.06	98.4934917658	98.9937711223	0.706255805098	0.110081861522	0.189891211126
M_M1_11	Apr 29 18:33:05	Apr 29 18:33:24	Apr 29 18:35:54	268.91	11204748.0	184.0	9460375.0	84.43	181.09	4205547.0	4148692.0	4165087.0	30273.0	4862.0	5325.0	0.38	0.01	1.55	0.01	1.38	268964.0	2.4	11775.0	0.11	0.0	13.04	0.03	98.6480950041	99.0379372766	0.719835017894	0.115609218016	0.126618487441
M_M1_12	Apr 29 19:04:48	Apr 29 19:05:09	Apr 29 19:10:40	304.1	27960636.0	184.0	24769507.0	88.59	181.39	6897525.0	6799637.0	6831003.0	52381.0	6750.0	7391.0	0.4	0.02	1.61	0.01	1.46	523481.0	1.87	39767.0	0.14	0.0	9.33	0.07	98.5808242812	99.0355671056	0.75941732723	0.0978611893397	0.107154377838
M_M2_01	Apr 29 20:00:57	Apr 29 20:01:21	Apr 29 20:04:25	277.26	14171082.0	184.0	12050141.0	85.03	181.2	5976814.0	5890094.0	5927104.0	37184.0	5962.0	6564.0	0.35	0.01	1.67	0.01	1.52	373289.0	2.63	21044.0	0.15	0.0	12.16	0.03	98.5490597499	99.1682859798	0.622137479935	0.0997521421948	0.109824398082
M_M2_02	Apr 29 18:26:01	Apr 29 18:26:38	Apr 29 18:29:59	233.39	13030681.0	184.0	11667599.0	89.54	181.29	4638492.0	4582465.0	4599143.0	30047.0	5100.0	4202.0	0.37	0.01	1.56	0.01	1.51	283548.0	2.18	25357.0	0.19	0.0	8.03	0.06	98.7921289936	99.1516855047	0.647775182107	0.1099495267	0.0905897865082
M_M2_03	Apr 29 18:43:16	Apr 29 18:43:33	Apr 29 18:46:39	284.74	14711402.0	184.0	12538484.0	85.23	181.19	3879164.0	3823943.0	3842342.0	28225.0	3379.0	5218.0	0.35	0.02	1.63	0.01	1.6	306987.0	2.09	12687.0	0.09	0.0	12.58	0.02	98.5764716315	99.0507748577	0.727605226281	0.0871063971516	0.134513518892
M_M2_04	Apr 29 19:21:30	Apr 29 19:22:00	Apr 29 19:25:37	254.47	15339182.0	184.0	12576041.0	81.99	180.84	6686480.0	6592753.0	6628771.0	40638.0	6085.0	10986.0	0.35	0.02	1.74	0.01	1.53	333104.0	2.17	12614.0	0.08	0.0	15.74	0.02	98.5982609684	99.1369300439	0.607763726206	0.0910045345234	0.164301695361
M_M2_05	Apr 29 17:56:47	Apr 29 18:03:47	Apr 29 18:06:30	277.52	12565403.0	184.0	10881713.0	86.6	180.92	5682645.0	5625061.0	5637728.0	34191.0	6518.0	4208.0	0.38	0.01	1.49	0.01	1.48	333374.0	2.65	13333.0	0.11	0.0	10.61	0.03	98.9866690599	99.2095758225	0.601674044393	0.11470010884	0.0740500242405
M_M2_06	Apr 29 19:34:19	Apr 29 19:35:11	Apr 29 19:39:14	164.43	11098815.0	184.0	9956300.0	89.71	181.57	5080034.0	5029624.0	5033985.0	33230.0	7130.0	5689.0	0.33	0.01	1.53	0.01	1.49	260602.0	2.35	13137.0	0.12	0.0	7.81	0.02	99.0076838068	99.093529689	0.654129480236	0.140353391336	0.111987439454
M_M2_07	Apr 29 19:06:15	Apr 29 19:06:36	Apr 29 19:10:14	266.59	16143373.0	184.0	14138880.0	87.58	181.08	6096531.0	6041422.0	6052765.0	35072.0	4301.0	4393.0	0.38	0.02	1.59	0.01	1.61	415980.0	2.58	24459.0	0.15	0.0	9.65	0.04	99.09605971	99.282116338	0.575277973654	0.0705483167395	0.072057371643
M_M2_08	Apr 29 18:59:58	Apr 29 19:00:18	Apr 29 19:03:59	252.57	15504820.0	184.0	12225318.0	78.85	180.19	3057404.0	2995467.0	3018798.0	30624.0	2837.0	5145.0	0.37	0.02	1.53	0.01	1.44	289280.0	1.87	26177.0	0.17	0.0	19.08	0.04	97.9741964098	98.7372947769	1.00163406602	0.0927911391494	0.16828001795
M_M2_09	Apr 29 19:28:44	Apr 29 19:29:05	Apr 29 19:32:06	287.58	14459021.0	184.0	12781060.0	88.4	181.37	3257489.0	3199572.0	3227350.0	22394.0	3144.0	4601.0	0.37	0.02	1.56	0.01	1.49	280546.0	1.94	19690.0	0.14	0.0	9.49	0.04	98.222035439	99.0747781497	0.687462029803	0.0965160588416	0.141243761683
M_M2_10	Apr 29 18:36:03	Apr 29 18:36:25	Apr 29 18:40:01	307.66	18459719.0	184.0	16620142.0	90.03	181.61	4578953.0	4502204.0	4533389.0	36109.0	4490.0	4965.0	0.36	0.01	1.57	0.01	1.5	336019.0	1.82	22115.0	0.12	0.0	7.99	0.04	98.3238744752	99.0049253618	0.788586386451	0.0980573506651	0.108430901125
M_M2_11	Apr 29 19:14:28	Apr 29 19:16:39	Apr 29 19:20:44	269.48	18339932.0	184.0	15792952.0	86.11	181.33	5398967.0	5320807.0	5336959.0	46901.0	8121.0	6986.0	0.38	0.02	1.55	0.01	1.46	364169.0	1.99	24986.0	0.14	0.0	11.72	0.05	98.5523156559	98.8514839968	0.868703216745	0.150417663231	0.129395123178
M_M2_12	Apr 29 19:20:52	Apr 29 19:21:11	Apr 29 19:24:08	294.76	14492234.0	184.0	12960960.0	89.43	181.52	3226704.0	3153958.0	3194703.0	23035.0	4762.0	4204.0	0.37	0.01	1.61	0.01	1.51	261666.0	1.81	20125.0	0.14	0.0	8.56	0.06	97.7455012917	99.0082449459	0.713886368257	0.14758093708	0.130287748737
M_M2nd_01	Apr 29 18:54:49	Apr 29 18:55:10	Apr 29 18:55:59	145.82	1984822.0	200.0	1697104.0	85.5	197.35	849382.0	838435.0	843607.0	4504.0	561.0	710.0	0.26	0.01	1.56	0.01	1.54	41037.0	2.07	2625.0	0.13	0.0	12.25	0.05	98.7111805995	99.3200939036	0.530267888889	0.0660480207963	0.0835901867475
